user,time,button,state,x,y
Nikita,1649452734.2382784,NoButton,Move,884,683
Nikita,1649452734.239286,NoButton,Move,883,683
Nikita,1649452734.2402856,NoButton,Move,882,683
Nikita,1649452734.2412858,NoButton,Move,881,683
Nikita,1649452734.2422857,NoButton,Move,880,683
Nikita,1649452734.2432861,NoButton,Move,879,683
Nikita,1649452734.2442853,NoButton,Move,878,683
Nikita,1649452734.2462952,NoButton,Move,877,683
Nikita,1649452734.2472858,NoButton,Move,876,683
Nikita,1649452734.2482898,NoButton,Move,875,683
Nikita,1649452734.2492876,NoButton,Move,874,683
Nikita,1649452734.250287,NoButton,Move,873,683
Nikita,1649452734.2512865,NoButton,Move,872,683
Nikita,1649452734.2527895,NoButton,Move,871,683
Nikita,1649452734.2548053,NoButton,Move,870,683
Nikita,1649452734.2557957,NoButton,Move,869,683
Nikita,1649452734.2567952,NoButton,Move,868,683
Nikita,1649452734.257795,NoButton,Move,867,683
Nikita,1649452734.259806,NoButton,Move,866,683
